,IPO_DATE,DELIST_DATE
000561.SZ,1994-05-09,1899-12-30
000563.SZ,1994-01-10,1899-12-30
000564.SZ,1994-01-10,1899-12-30
000565.SZ,1994-04-08,1899-12-30
000566.SZ,1994-05-25,1899-12-30
000567.SZ,1994-05-25,1899-12-30
000568.SZ,1994-05-09,1899-12-30
000570.SZ,1994-07-01,1899-12-30
000571.SZ,1994-05-25,1899-12-30
000572.SZ,1994-08-08,1899-12-30
000573.SZ,1994-08-15,1899-12-30
000576.SZ,1994-09-07,1899-12-30
000581.SZ,1998-09-24,1899-12-30
000582.SZ,1995-11-02,1899-12-30
000584.SZ,1995-11-28,1899-12-30
000585.SZ,1995-12-13,1899-12-30
000586.SZ,1995-12-20,1899-12-30
000587.SZ,1996-04-25,1899-12-30
000589.SZ,1996-03-08,1899-12-30
000590.SZ,1996-01-19,1899-12-30
000591.SZ,1996-02-08,1899-12-30
000592.SZ,1996-03-27,1899-12-30
000593.SZ,1996-03-12,1899-12-30
000595.SZ,1996-04-19,1899-12-30
000596.SZ,1996-09-27,1899-12-30
000597.SZ,1996-05-23,1899-12-30
000598.SZ,1996-05-29,1899-12-30
000599.SZ,1996-04-30,1899-12-30
000600.SZ,1996-06-06,1899-12-30
000601.SZ,1996-08-30,1899-12-30
000603.SZ,1996-08-23,1899-12-30
000605.SZ,1996-09-13,1899-12-30
000606.SZ,1996-10-04,1899-12-30
000607.SZ,1996-08-30,1899-12-30
000608.SZ,1996-09-19,1899-12-30
000609.SZ,1996-10-10,1899-12-30
000610.SZ,1996-09-26,1899-12-30
000611.SZ,1996-10-08,1899-12-30
000612.SZ,1996-09-26,1899-12-30
000613.SZ,1997-01-28,1899-12-30
000615.SZ,1996-10-16,1899-12-30
000616.SZ,1996-11-08,1899-12-30
000617.SZ,1996-10-22,1899-12-30
000619.SZ,1996-10-23,1899-12-30
000620.SZ,1996-10-29,1899-12-30
000622.SZ,1996-11-07,1899-12-30
000623.SZ,1996-10-28,1899-12-30
000625.SZ,1997-06-10,1899-12-30
000626.SZ,1996-11-28,1899-12-30
000627.SZ,1996-11-12,1899-12-30
000628.SZ,1996-11-18,1899-12-30
000629.SZ,1996-11-15,1899-12-30
000630.SZ,1996-11-20,1899-12-30
000631.SZ,1996-11-22,1899-12-30
000632.SZ,1996-11-21,1899-12-30
000633.SZ,1996-11-12,1899-12-30
000635.SZ,1996-11-20,1899-12-30
000636.SZ,1996-11-29,1899-12-30
000637.SZ,1996-11-14,1899-12-30
000638.SZ,1996-11-26,1899-12-30
000639.SZ,1996-11-26,1899-12-30
000650.SZ,1996-12-10,1899-12-30
000651.SZ,1996-11-18,1899-12-30
000652.SZ,1996-11-28,1899-12-30
000655.SZ,1996-11-28,1899-12-30
000656.SZ,1996-11-28,1899-12-30
000657.SZ,1996-12-05,1899-12-30
000659.SZ,1996-12-03,1899-12-30
000661.SZ,1996-12-18,1899-12-30
000662.SZ,1996-12-16,1899-12-30
000663.SZ,1996-12-06,1899-12-30
000665.SZ,1996-12-10,1899-12-30
000666.SZ,1996-12-10,1899-12-30
000667.SZ,1996-12-05,1899-12-30
000668.SZ,1996-12-10,1899-12-30
000669.SZ,1996-12-10,1899-12-30
000670.SZ,1996-12-17,1899-12-30
000671.SZ,1996-12-18,1899-12-30
000672.SZ,1996-12-18,1899-12-30
000673.SZ,1997-01-24,1899-12-30
000676.SZ,1996-12-24,1899-12-30
000677.SZ,1996-12-26,1899-12-30
000678.SZ,1997-01-06,1899-12-30
000679.SZ,1997-01-24,1899-12-30
000680.SZ,1997-01-22,1899-12-30
000681.SZ,1997-01-21,1899-12-30
000682.SZ,1997-01-21,1899-12-30
000683.SZ,1997-01-31,1899-12-30
000685.SZ,1997-01-23,1899-12-30
000686.SZ,1997-02-27,1899-12-30
000687.SZ,1997-02-21,1899-12-30
000688.SZ,1997-01-20,1899-12-30
000690.SZ,1997-01-28,1899-12-30
000691.SZ,1997-02-28,1899-12-30
000692.SZ,1997-02-27,1899-12-30
000693.SZ,1997-02-26,2019-07-09
000695.SZ,1997-02-18,1899-12-30
000697.SZ,1997-03-25,1899-12-30
000698.SZ,1997-02-20,1899-12-30
000700.SZ,1997-02-28,1899-12-30
000701.SZ,1997-02-26,1899-12-30
000702.SZ,1997-03-18,1899-12-30
000703.SZ,1997-03-28,1899-12-30
000705.SZ,1997-04-10,1899-12-30
000707.SZ,1997-04-15,1899-12-30
000708.SZ,1997-03-26,1899-12-30
000709.SZ,1997-04-16,1899-12-30
000710.SZ,1997-04-22,1899-12-30
000711.SZ,1997-04-11,1899-12-30
000712.SZ,1997-04-15,1899-12-30
000713.SZ,1997-04-22,1899-12-30
000715.SZ,1997-05-08,1899-12-30
000716.SZ,1997-04-18,1899-12-30
000717.SZ,1997-05-08,1899-12-30
000718.SZ,1997-04-08,1899-12-30
000719.SZ,1997-03-31,1899-12-30
000720.SZ,1997-05-09,1899-12-30
000721.SZ,1997-04-30,1899-12-30
000722.SZ,1997-05-22,1899-12-30
000723.SZ,1997-05-15,1899-12-30
000725.SZ,2001-01-12,1899-12-30
000726.SZ,2000-12-25,1899-12-30
000727.SZ,1997-05-20,1899-12-30
000728.SZ,1997-06-16,1899-12-30
000729.SZ,1997-07-16,1899-12-30
000731.SZ,1997-06-17,1899-12-30
000732.SZ,1997-07-04,1899-12-30
000733.SZ,1997-07-03,1899-12-30
000735.SZ,1997-06-11,1899-12-30
000736.SZ,1997-04-25,1899-12-30
000737.SZ,1997-04-28,1899-12-30
000738.SZ,1997-06-26,1899-12-30
000739.SZ,1997-05-09,1899-12-30
000748.SZ,1997-07-04,2017-01-18
000750.SZ,1997-07-09,1899-12-30
000751.SZ,1997-06-26,1899-12-30
000752.SZ,1997-06-25,1899-12-30
000753.SZ,1997-06-26,1899-12-30
000755.SZ,1997-06-27,1899-12-30
000756.SZ,1997-08-06,1899-12-30
000757.SZ,1997-06-27,1899-12-30
000758.SZ,1997-04-16,1899-12-30
000759.SZ,1997-05-19,1899-12-30
