,IPO_DATE,DELIST_DATE
002195.SZ,2007-12-12,1899-12-30
002196.SZ,2007-12-12,1899-12-30
002197.SZ,2007-12-18,1899-12-30
002198.SZ,2007-12-18,1899-12-30
002199.SZ,2007-12-21,1899-12-30
002200.SZ,2007-12-21,1899-12-30
002201.SZ,2007-12-26,1899-12-30
002202.SZ,2007-12-26,1899-12-30
002203.SZ,2008-01-16,1899-12-30
002204.SZ,2008-01-16,1899-12-30
002205.SZ,2008-01-23,1899-12-30
002206.SZ,2008-01-23,1899-12-30
002207.SZ,2008-01-28,1899-12-30
002208.SZ,2008-01-28,1899-12-30
002209.SZ,2008-01-30,1899-12-30
002210.SZ,2008-01-30,1899-12-30
002211.SZ,2008-02-01,1899-12-30
002212.SZ,2008-02-01,1899-12-30
002213.SZ,2008-02-01,1899-12-30
002214.SZ,2008-02-18,1899-12-30
002215.SZ,2008-02-18,1899-12-30
002216.SZ,2008-02-20,1899-12-30
002217.SZ,2008-02-20,1899-12-30
002218.SZ,2008-02-28,1899-12-30
002219.SZ,2008-03-06,1899-12-30
002220.SZ,2008-02-28,2020-08-11
002221.SZ,2008-03-06,1899-12-30
002222.SZ,2008-03-19,1899-12-30
002223.SZ,2008-04-18,1899-12-30
002224.SZ,2008-04-25,1899-12-30
002225.SZ,2008-04-25,1899-12-30
002226.SZ,2008-05-06,1899-12-30
002227.SZ,2008-05-06,1899-12-30
002228.SZ,2008-05-08,1899-12-30
002229.SZ,2008-05-08,1899-12-30
002230.SZ,2008-05-12,1899-12-30
002231.SZ,2008-05-12,1899-12-30
002232.SZ,2008-05-09,1899-12-30
002233.SZ,2008-05-16,1899-12-30
002234.SZ,2008-05-16,1899-12-30
002235.SZ,2008-05-16,1899-12-30
002236.SZ,2008-05-20,1899-12-30
002237.SZ,2008-05-20,1899-12-30
002238.SZ,2008-05-26,1899-12-30
002239.SZ,2008-05-22,1899-12-30
002240.SZ,2008-05-23,1899-12-30
002241.SZ,2008-05-22,1899-12-30
002242.SZ,2008-05-28,1899-12-30
002243.SZ,2008-05-28,1899-12-30
002244.SZ,2008-05-29,1899-12-30
002245.SZ,2008-06-05,1899-12-30
002246.SZ,2008-06-05,1899-12-30
002247.SZ,2008-06-12,1899-12-30
002248.SZ,2008-06-12,1899-12-30
002249.SZ,2008-06-19,1899-12-30
002250.SZ,2008-06-19,1899-12-30
002251.SZ,2008-06-19,1899-12-30
002252.SZ,2008-06-23,1899-12-30
002253.SZ,2008-06-23,1899-12-30
002254.SZ,2008-06-25,1899-12-30
002255.SZ,2008-06-25,1899-12-30
002256.SZ,2008-06-25,1899-12-30
002258.SZ,2008-07-08,1899-12-30
002259.SZ,2008-07-16,1899-12-30
002260.SZ,2008-07-16,1899-12-30
002261.SZ,2008-07-23,1899-12-30
002262.SZ,2008-07-23,1899-12-30
002263.SZ,2008-07-28,1899-12-30
002264.SZ,2008-07-31,1899-12-30
002265.SZ,2008-08-06,1899-12-30
002266.SZ,2008-08-06,1899-12-30
002267.SZ,2008-08-13,1899-12-30
002268.SZ,2008-08-11,1899-12-30
002269.SZ,2008-08-28,1899-12-30
002270.SZ,2008-09-05,1899-12-30
002271.SZ,2008-09-10,1899-12-30
002272.SZ,2008-09-19,1899-12-30
002273.SZ,2008-09-19,1899-12-30
002274.SZ,2008-09-25,1899-12-30
002275.SZ,2009-07-10,1899-12-30
002276.SZ,2009-07-10,1899-12-30
002277.SZ,2009-07-17,1899-12-30
002278.SZ,2009-08-11,1899-12-30
002279.SZ,2009-08-11,1899-12-30
002280.SZ,2009-08-21,1899-12-30
002281.SZ,2009-08-21,1899-12-30
002282.SZ,2009-08-21,1899-12-30
002283.SZ,2009-08-21,1899-12-30
002284.SZ,2009-08-28,1899-12-30
002285.SZ,2009-08-28,1899-12-30
002286.SZ,2009-08-28,1899-12-30
002287.SZ,2009-08-28,1899-12-30
002288.SZ,2009-09-03,1899-12-30
002289.SZ,2009-09-03,1899-12-30
002290.SZ,2009-09-03,1899-12-30
002291.SZ,2009-09-03,1899-12-30
002292.SZ,2009-09-10,1899-12-30
002293.SZ,2009-09-10,1899-12-30
002294.SZ,2009-09-10,1899-12-30
002295.SZ,2009-09-29,1899-12-30
002296.SZ,2009-09-29,1899-12-30
002297.SZ,2009-09-29,1899-12-30
002298.SZ,2009-09-29,1899-12-30
002299.SZ,2009-10-21,1899-12-30
002300.SZ,2009-10-21,1899-12-30
002301.SZ,2009-10-21,1899-12-30
002302.SZ,2009-11-03,1899-12-30
002303.SZ,2009-11-03,1899-12-30
002304.SZ,2009-11-06,1899-12-30
002305.SZ,2009-11-06,1899-12-30
002306.SZ,2009-11-11,1899-12-30
002307.SZ,2009-11-11,1899-12-30
002308.SZ,2009-11-27,1899-12-30
002309.SZ,2009-11-27,1899-12-30
002310.SZ,2009-11-27,1899-12-30
002311.SZ,2009-11-27,1899-12-30
002312.SZ,2009-12-03,1899-12-30
002313.SZ,2009-12-03,1899-12-30
002314.SZ,2009-12-03,1899-12-30
002315.SZ,2009-12-09,1899-12-30
002316.SZ,2009-12-09,1899-12-30
002317.SZ,2009-12-11,1899-12-30
002318.SZ,2009-12-11,1899-12-30
002319.SZ,2009-12-11,1899-12-30
002320.SZ,2009-12-16,1899-12-30
002321.SZ,2009-12-16,1899-12-30
002322.SZ,2009-12-18,1899-12-30
002323.SZ,2009-12-18,1899-12-30
002324.SZ,2009-12-18,1899-12-30
002325.SZ,2009-12-22,1899-12-30
002326.SZ,2009-12-22,1899-12-30
002327.SZ,2009-12-30,1899-12-30
002328.SZ,2009-12-30,1899-12-30
002329.SZ,2010-01-06,1899-12-30
002330.SZ,2010-01-06,1899-12-30
002331.SZ,2010-01-06,1899-12-30
002332.SZ,2010-01-12,1899-12-30
002333.SZ,2010-01-12,1899-12-30
002334.SZ,2010-01-13,1899-12-30
002335.SZ,2010-01-13,1899-12-30
002336.SZ,2010-01-13,1899-12-30
002337.SZ,2010-01-15,1899-12-30
002338.SZ,2010-01-15,1899-12-30
002339.SZ,2010-01-22,1899-12-30
002340.SZ,2010-01-22,1899-12-30
002341.SZ,2010-01-22,1899-12-30
002342.SZ,2010-01-26,1899-12-30
002343.SZ,2010-01-26,1899-12-30
002344.SZ,2010-01-26,1899-12-30
002345.SZ,2010-01-28,1899-12-30
002346.SZ,2010-01-28,1899-12-30
002347.SZ,2010-01-28,1899-12-30
002348.SZ,2010-02-03,1899-12-30
002349.SZ,2010-02-03,1899-12-30
002350.SZ,2010-02-03,1899-12-30
002351.SZ,2010-02-05,1899-12-30
002352.SZ,2010-02-05,1899-12-30
002353.SZ,2010-02-05,1899-12-30
002354.SZ,2010-02-09,1899-12-30
002355.SZ,2010-02-09,1899-12-30
002356.SZ,2010-02-09,1899-12-30
002357.SZ,2010-02-10,1899-12-30
002358.SZ,2010-02-10,1899-12-30
002359.SZ,2010-02-10,1899-12-30
002360.SZ,2010-03-03,1899-12-30
002361.SZ,2010-03-03,1899-12-30
002362.SZ,2010-03-03,1899-12-30
002363.SZ,2010-03-05,1899-12-30
002364.SZ,2010-03-05,1899-12-30
002365.SZ,2010-03-05,1899-12-30
002366.SZ,2010-03-12,1899-12-30
002367.SZ,2010-03-12,1899-12-30
002368.SZ,2010-03-12,1899-12-30
002369.SZ,2010-03-16,1899-12-30
002370.SZ,2010-03-16,1899-12-30
002371.SZ,2010-03-16,1899-12-30
002372.SZ,2010-03-18,1899-12-30
002373.SZ,2010-03-18,1899-12-30
002374.SZ,2010-03-18,1899-12-30
002375.SZ,2010-03-23,1899-12-30
002376.SZ,2010-03-23,1899-12-30
002377.SZ,2010-03-23,1899-12-30
002378.SZ,2010-03-31,1899-12-30
002379.SZ,2010-03-31,1899-12-30
002380.SZ,2010-03-31,1899-12-30
002381.SZ,2010-04-02,1899-12-30
002382.SZ,2010-04-02,1899-12-30
002383.SZ,2010-04-02,1899-12-30
002384.SZ,2010-04-09,1899-12-30
002385.SZ,2010-04-09,1899-12-30
002386.SZ,2010-04-09,1899-12-30
002387.SZ,2010-04-13,1899-12-30
002388.SZ,2010-04-13,1899-12-30
002389.SZ,2010-04-13,1899-12-30
002390.SZ,2010-04-16,1899-12-30
002391.SZ,2010-04-16,1899-12-30
002392.SZ,2010-04-23,1899-12-30
002393.SZ,2010-04-23,1899-12-30
002394.SZ,2010-04-23,1899-12-30
002395.SZ,2010-04-29,1899-12-30
002396.SZ,2010-06-23,1899-12-30
002397.SZ,2010-04-29,1899-12-30
002398.SZ,2010-05-06,1899-12-30
002399.SZ,2010-05-06,1899-12-30
002400.SZ,2010-05-06,1899-12-30
002401.SZ,2010-05-06,1899-12-30
002402.SZ,2010-05-11,1899-12-30
002403.SZ,2010-05-11,1899-12-30
002404.SZ,2010-05-11,1899-12-30
002405.SZ,2010-05-18,1899-12-30
002406.SZ,2010-05-18,1899-12-30
002407.SZ,2010-05-18,1899-12-30
002408.SZ,2010-05-18,1899-12-30
002409.SZ,2010-05-25,1899-12-30
002410.SZ,2010-05-25,1899-12-30
002411.SZ,2010-05-25,1899-12-30
002412.SZ,2010-05-25,1899-12-30
002413.SZ,2010-05-28,1899-12-30
002414.SZ,2010-07-16,1899-12-30
002415.SZ,2010-05-28,1899-12-30
002416.SZ,2010-05-28,1899-12-30
002417.SZ,2010-06-01,1899-12-30
002418.SZ,2010-06-01,1899-12-30
002419.SZ,2010-06-01,1899-12-30
002420.SZ,2010-06-01,1899-12-30
002421.SZ,2010-06-03,1899-12-30
002422.SZ,2010-06-03,1899-12-30
002423.SZ,2010-06-03,1899-12-30
002424.SZ,2010-06-03,1899-12-30
002425.SZ,2010-06-08,1899-12-30
002426.SZ,2010-06-08,1899-12-30
002427.SZ,2010-06-08,1899-12-30
002428.SZ,2010-06-08,1899-12-30
002429.SZ,2010-06-10,1899-12-30
002430.SZ,2010-06-10,1899-12-30
002431.SZ,2010-06-10,1899-12-30
002432.SZ,2010-06-10,1899-12-30
002433.SZ,2010-06-18,1899-12-30
002434.SZ,2010-06-18,1899-12-30
002435.SZ,2010-06-18,1899-12-30
002436.SZ,2010-06-18,1899-12-30
002437.SZ,2010-06-23,1899-12-30
002438.SZ,2010-06-23,1899-12-30
002439.SZ,2010-06-23,1899-12-30
002440.SZ,2010-07-06,1899-12-30
002441.SZ,2010-07-06,1899-12-30
002442.SZ,2010-07-06,1899-12-30
002443.SZ,2010-07-06,1899-12-30
002444.SZ,2010-07-13,1899-12-30
002445.SZ,2010-07-13,1899-12-30
002446.SZ,2010-07-13,1899-12-30
002447.SZ,2010-07-13,1899-12-30
002448.SZ,2010-07-16,1899-12-30
002449.SZ,2010-07-16,1899-12-30
002450.SZ,2010-07-16,1899-12-30
002451.SZ,2010-07-20,1899-12-30
002452.SZ,2010-07-20,1899-12-30
002453.SZ,2010-07-20,1899-12-30
002454.SZ,2010-07-20,1899-12-30
002455.SZ,2010-08-03,1899-12-30
002456.SZ,2010-08-03,1899-12-30
002457.SZ,2010-08-03,1899-12-30
002458.SZ,2010-08-10,1899-12-30
002459.SZ,2010-08-10,1899-12-30
002460.SZ,2010-08-10,1899-12-30
002461.SZ,2010-08-18,1899-12-30
002462.SZ,2010-08-18,1899-12-30
002463.SZ,2010-08-18,1899-12-30
002464.SZ,2010-08-31,1899-12-30
002465.SZ,2010-08-31,1899-12-30
002466.SZ,2010-08-31,1899-12-30
002467.SZ,2010-09-08,1899-12-30
002468.SZ,2010-09-08,1899-12-30
002469.SZ,2010-09-08,1899-12-30
002470.SZ,2010-09-08,1899-12-30
002471.SZ,2010-09-10,1899-12-30
002472.SZ,2010-09-10,1899-12-30
002473.SZ,2010-09-10,1899-12-30
002474.SZ,2010-09-15,1899-12-30
002475.SZ,2010-09-15,1899-12-30
002476.SZ,2010-09-15,1899-12-30
002477.SZ,2010-09-15,2019-10-16
002478.SZ,2010-09-21,1899-12-30
002479.SZ,2010-09-21,1899-12-30
002480.SZ,2010-09-21,1899-12-30
002481.SZ,2010-09-21,1899-12-30
002482.SZ,2010-09-29,1899-12-30
002483.SZ,2010-09-29,1899-12-30
002484.SZ,2010-09-29,1899-12-30
002485.SZ,2010-10-15,1899-12-30
002486.SZ,2010-10-15,1899-12-30
002487.SZ,2010-10-15,1899-12-30
002488.SZ,2010-10-21,1899-12-30
002489.SZ,2010-10-21,1899-12-30
002490.SZ,2010-10-21,1899-12-30
002491.SZ,2010-10-21,1899-12-30
002492.SZ,2010-11-02,1899-12-30
002493.SZ,2010-11-02,1899-12-30
002494.SZ,2010-11-02,1899-12-30
002495.SZ,2010-11-02,1899-12-30
002496.SZ,2010-11-09,1899-12-30
002497.SZ,2010-11-09,1899-12-30
002498.SZ,2010-11-09,1899-12-30
002499.SZ,2010-11-09,1899-12-30
002500.SZ,2010-11-15,1899-12-30
002501.SZ,2010-11-17,1899-12-30
002502.SZ,2010-11-17,1899-12-30
002503.SZ,2010-11-17,1899-12-30
002504.SZ,2010-11-18,1899-12-30
002505.SZ,2010-11-18,1899-12-30
002506.SZ,2010-11-18,1899-12-30
002507.SZ,2010-11-23,1899-12-30
002508.SZ,2010-11-23,1899-12-30
002509.SZ,2010-11-23,2020-07-20
002510.SZ,2010-11-25,1899-12-30
002511.SZ,2010-11-25,1899-12-30
002512.SZ,2010-12-03,1899-12-30
002513.SZ,2010-12-03,1899-12-30
002514.SZ,2010-12-03,1899-12-30
002515.SZ,2010-12-03,1899-12-30
002516.SZ,2010-12-07,1899-12-30
002517.SZ,2010-12-07,1899-12-30
002518.SZ,2010-12-07,1899-12-30
002519.SZ,2010-12-07,1899-12-30
002520.SZ,2010-12-10,1899-12-30
002521.SZ,2010-12-10,1899-12-30
002522.SZ,2010-12-10,1899-12-30
002523.SZ,2010-12-10,1899-12-30
002524.SZ,2010-12-17,1899-12-30
002526.SZ,2010-12-17,1899-12-30
002527.SZ,2010-12-24,1899-12-30
002528.SZ,2010-12-24,1899-12-30
002529.SZ,2010-12-24,1899-12-30
002530.SZ,2010-12-31,1899-12-30
002531.SZ,2010-12-31,1899-12-30
002532.SZ,2010-12-31,1899-12-30
002533.SZ,2010-12-31,1899-12-30
002534.SZ,2011-01-10,1899-12-30
002535.SZ,2011-01-11,1899-12-30
002536.SZ,2011-01-11,1899-12-30
002537.SZ,2011-01-10,1899-12-30
002538.SZ,2011-01-18,1899-12-30
002539.SZ,2011-01-18,1899-12-30
002540.SZ,2011-01-18,1899-12-30
002541.SZ,2011-01-18,1899-12-30
002542.SZ,2011-01-28,1899-12-30
002543.SZ,2011-01-28,1899-12-30
002544.SZ,2011-01-28,1899-12-30
002545.SZ,2011-02-11,1899-12-30
002546.SZ,2011-02-11,1899-12-30
002547.SZ,2011-02-18,1899-12-30
002548.SZ,2011-02-18,1899-12-30
002549.SZ,2011-02-18,1899-12-30
002550.SZ,2011-02-18,1899-12-30
002551.SZ,2011-02-25,1899-12-30
002552.SZ,2011-02-25,1899-12-30
002553.SZ,2011-02-25,1899-12-30
002554.SZ,2011-02-25,1899-12-30
002555.SZ,2011-03-02,1899-12-30
002556.SZ,2011-03-02,1899-12-30
002557.SZ,2011-03-02,1899-12-30
002558.SZ,2011-03-02,1899-12-30
002559.SZ,2011-03-03,1899-12-30
002560.SZ,2011-03-03,1899-12-30
002561.SZ,2011-03-03,1899-12-30
002562.SZ,2011-03-10,1899-12-30
002563.SZ,2011-03-11,1899-12-30
002564.SZ,2011-03-10,1899-12-30
002565.SZ,2011-03-18,1899-12-30
002566.SZ,2011-03-18,1899-12-30
002567.SZ,2011-03-25,1899-12-30
002568.SZ,2011-03-25,1899-12-30
002569.SZ,2011-04-12,1899-12-30
002570.SZ,2011-04-12,1899-12-30
002571.SZ,2011-04-12,1899-12-30
002572.SZ,2011-04-12,1899-12-30
002573.SZ,2011-04-22,1899-12-30
002574.SZ,2011-04-22,1899-12-30
002575.SZ,2011-04-22,1899-12-30
002576.SZ,2011-04-28,1899-12-30
002577.SZ,2011-04-28,1899-12-30
002578.SZ,2011-04-28,1899-12-30
002579.SZ,2011-05-06,1899-12-30
002580.SZ,2011-05-06,1899-12-30
002581.SZ,2011-05-20,1899-12-30
002582.SZ,2011-05-20,1899-12-30
002583.SZ,2011-05-27,1899-12-30
002584.SZ,2011-06-02,1899-12-30
002585.SZ,2011-06-02,1899-12-30
002586.SZ,2011-06-02,1899-12-30
002587.SZ,2011-06-10,1899-12-30
002588.SZ,2011-06-10,1899-12-30
002589.SZ,2011-06-10,1899-12-30
002590.SZ,2011-06-10,1899-12-30
002591.SZ,2011-06-21,1899-12-30
002592.SZ,2011-11-11,1899-12-30
002593.SZ,2011-06-28,1899-12-30
002594.SZ,2011-06-30,1899-12-30
002595.SZ,2011-06-28,1899-12-30
002596.SZ,2011-07-07,1899-12-30
002597.SZ,2011-07-07,1899-12-30
002598.SZ,2011-07-07,1899-12-30
002599.SZ,2011-07-15,1899-12-30
002600.SZ,2011-07-15,1899-12-30
002601.SZ,2011-07-15,1899-12-30
002602.SZ,2011-07-28,1899-12-30
002603.SZ,2011-07-28,1899-12-30
002604.SZ,2011-07-28,2020-07-15
002605.SZ,2011-08-05,1899-12-30
002606.SZ,2011-08-05,1899-12-30
002607.SZ,2011-08-10,1899-12-30
002608.SZ,2011-08-10,1899-12-30
002609.SZ,2011-08-15,1899-12-30
002610.SZ,2011-08-15,1899-12-30
002611.SZ,2011-08-30,1899-12-30
002612.SZ,2011-08-30,1899-12-30
002613.SZ,2011-08-30,1899-12-30
002614.SZ,2011-09-09,1899-12-30
002615.SZ,2011-09-09,1899-12-30
002616.SZ,2011-09-20,1899-12-30
002617.SZ,2011-09-20,1899-12-30
002618.SZ,2011-09-20,1899-12-30
002619.SZ,2011-09-29,1899-12-30
002620.SZ,2011-09-29,1899-12-30
002621.SZ,2011-09-29,1899-12-30
002622.SZ,2011-10-18,1899-12-30
002623.SZ,2011-10-13,1899-12-30
002624.SZ,2011-10-28,1899-12-30
002625.SZ,2011-11-03,1899-12-30
002626.SZ,2011-10-28,1899-12-30
002627.SZ,2011-11-03,1899-12-30
002628.SZ,2011-11-03,1899-12-30
002629.SZ,2011-11-03,1899-12-30
002630.SZ,2011-11-11,1899-12-30
002631.SZ,2011-11-11,1899-12-30
002632.SZ,2011-11-22,1899-12-30
002633.SZ,2011-11-22,1899-12-30
002634.SZ,2011-12-05,1899-12-30
002635.SZ,2011-11-25,1899-12-30
002636.SZ,2011-11-25,1899-12-30
002637.SZ,2011-11-25,1899-12-30
002638.SZ,2011-11-25,1899-12-30
002639.SZ,2011-12-05,1899-12-30
002640.SZ,2011-12-08,1899-12-30
002641.SZ,2011-12-08,1899-12-30
002642.SZ,2011-12-20,1899-12-30
002643.SZ,2011-12-20,1899-12-30
002644.SZ,2011-12-22,1899-12-30
002645.SZ,2011-12-20,1899-12-30
002646.SZ,2011-12-22,1899-12-30
002647.SZ,2011-12-28,1899-12-30
002648.SZ,2011-12-28,1899-12-30
002649.SZ,2012-01-06,1899-12-30
002650.SZ,2012-01-06,1899-12-30
002651.SZ,2012-01-06,1899-12-30
002652.SZ,2012-01-19,1899-12-30
002653.SZ,2012-01-17,1899-12-30
002654.SZ,2012-02-17,1899-12-30
002655.SZ,2012-02-17,1899-12-30
002656.SZ,2012-02-28,1899-12-30
002657.SZ,2012-02-28,1899-12-30
002658.SZ,2012-03-09,1899-12-30
002659.SZ,2012-03-09,1899-12-30
002660.SZ,2012-03-16,1899-12-30
002661.SZ,2012-03-16,1899-12-30
002662.SZ,2012-03-09,1899-12-30
002663.SZ,2012-03-16,1899-12-30
002664.SZ,2012-03-16,1899-12-30
002665.SZ,2012-03-27,1899-12-30
002666.SZ,2012-03-27,1899-12-30
002667.SZ,2012-03-29,1899-12-30
002668.SZ,2012-04-16,1899-12-30
002669.SZ,2012-04-16,1899-12-30
002670.SZ,2012-04-16,1899-12-30
002671.SZ,2012-04-26,1899-12-30
002672.SZ,2012-04-26,1899-12-30
002673.SZ,2012-05-03,1899-12-30
002674.SZ,2012-05-07,1899-12-30
002675.SZ,2012-05-25,1899-12-30
002676.SZ,2012-05-25,1899-12-30
002677.SZ,2012-05-25,1899-12-30
002678.SZ,2012-05-30,1899-12-30
002679.SZ,2012-06-05,1899-12-30
002680.SZ,2012-06-05,2019-11-27
002681.SZ,2012-06-05,1899-12-30
002682.SZ,2012-06-12,1899-12-30
002683.SZ,2012-06-12,1899-12-30
002684.SZ,2012-06-12,1899-12-30
002685.SZ,2012-06-12,1899-12-30
002686.SZ,2012-07-03,1899-12-30
002687.SZ,2012-07-13,1899-12-30
002688.SZ,2012-07-13,1899-12-30
002689.SZ,2012-07-17,1899-12-30
002690.SZ,2012-07-31,1899-12-30
002691.SZ,2012-07-31,1899-12-30
002692.SZ,2012-08-08,1899-12-30
002693.SZ,2012-08-08,1899-12-30
002694.SZ,2012-08-16,1899-12-30
002695.SZ,2012-09-05,1899-12-30
002696.SZ,2012-09-05,1899-12-30
002697.SZ,2012-09-05,1899-12-30
002698.SZ,2012-09-11,1899-12-30
002699.SZ,2012-09-11,1899-12-30
002700.SZ,2012-09-21,1899-12-30
002701.SZ,2012-10-11,1899-12-30
002702.SZ,2012-10-11,1899-12-30
002703.SZ,2012-11-02,1899-12-30
002705.SZ,2014-01-21,1899-12-30
002706.SZ,2014-01-21,1899-12-30
002707.SZ,2014-01-23,1899-12-30
002708.SZ,2014-01-21,1899-12-30
002709.SZ,2014-01-23,1899-12-30
002711.SZ,2014-01-27,1899-12-30
002712.SZ,2014-01-23,1899-12-30
002713.SZ,2014-02-19,1899-12-30
002714.SZ,2014-01-28,1899-12-30
002715.SZ,2014-02-19,1899-12-30
002716.SZ,2014-01-28,1899-12-30
002717.SZ,2014-02-19,1899-12-30
002718.SZ,2014-01-28,1899-12-30
002719.SZ,2014-01-28,1899-12-30
002721.SZ,2014-01-27,1899-12-30
002722.SZ,2014-01-28,1899-12-30
002723.SZ,2014-01-29,1899-12-30
002724.SZ,2014-11-04,1899-12-30
002725.SZ,2014-01-29,1899-12-30
002726.SZ,2014-06-26,1899-12-30
002727.SZ,2014-07-02,1899-12-30
002728.SZ,2014-07-31,1899-12-30
002729.SZ,2014-09-12,1899-12-30
002730.SZ,2014-10-09,1899-12-30
002731.SZ,2014-11-04,1899-12-30
002732.SZ,2014-12-05,1899-12-30
002733.SZ,2014-12-03,1899-12-30
002734.SZ,2015-01-27,1899-12-30
002735.SZ,2014-12-03,1899-12-30
002736.SZ,2014-12-29,1899-12-30
002737.SZ,2014-12-30,1899-12-30
002738.SZ,2014-12-30,1899-12-30
002739.SZ,2015-01-22,1899-12-30
002740.SZ,2015-01-22,1899-12-30
002741.SZ,2015-02-16,1899-12-30
002742.SZ,2015-02-17,1899-12-30
002743.SZ,2015-02-17,1899-12-30
002745.SZ,2015-02-17,1899-12-30
002746.SZ,2015-02-16,1899-12-30
002747.SZ,2015-03-20,1899-12-30
002748.SZ,2015-03-19,1899-12-30
002749.SZ,2015-03-20,1899-12-30
002750.SZ,2015-03-24,1899-12-30
002751.SZ,2015-04-24,1899-12-30
002752.SZ,2015-04-22,1899-12-30
002753.SZ,2015-05-19,1899-12-30
002755.SZ,2015-05-15,1899-12-30
002756.SZ,2015-05-15,1899-12-30
002757.SZ,2015-05-27,1899-12-30
002758.SZ,2015-05-27,1899-12-30
002759.SZ,2015-05-28,1899-12-30
002760.SZ,2015-06-11,1899-12-30
002761.SZ,2015-06-10,1899-12-30
002762.SZ,2015-06-10,1899-12-30
002763.SZ,2015-06-10,1899-12-30
002765.SZ,2015-06-12,1899-12-30
002766.SZ,2015-06-11,1899-12-30
002767.SZ,2015-06-12,1899-12-30
002768.SZ,2015-06-30,1899-12-30
002769.SZ,2015-06-29,1899-12-30
002770.SZ,2015-06-30,1899-12-30
002771.SZ,2015-06-29,1899-12-30
002772.SZ,2015-06-26,1899-12-30
002773.SZ,2015-06-26,1899-12-30
002774.SZ,2017-03-24,1899-12-30
002775.SZ,2015-06-29,1899-12-30
002776.SZ,2015-06-26,1899-12-30
002777.SZ,2015-12-31,1899-12-30
002778.SZ,2016-01-06,1899-12-30
002779.SZ,2015-12-09,1899-12-30
002780.SZ,2015-12-09,1899-12-30
002781.SZ,2015-12-22,1899-12-30
002782.SZ,2015-12-22,1899-12-30
002783.SZ,2015-12-09,1899-12-30
002785.SZ,2015-12-23,1899-12-30
002786.SZ,2015-12-23,1899-12-30
002787.SZ,2015-12-31,1899-12-30
002788.SZ,2016-02-18,1899-12-30
002789.SZ,2016-03-11,1899-12-30
002790.SZ,2016-03-08,1899-12-30
002791.SZ,2016-03-29,1899-12-30
002792.SZ,2016-03-28,1899-12-30
002793.SZ,2016-04-15,1899-12-30
002795.SZ,2016-04-28,1899-12-30
002796.SZ,2016-05-10,1899-12-30
002797.SZ,2016-05-11,1899-12-30
002798.SZ,2016-05-25,1899-12-30
002799.SZ,2016-06-08,1899-12-30
002800.SZ,2016-05-30,1899-12-30
002801.SZ,2016-06-22,1899-12-30
002802.SZ,2016-06-29,1899-12-30
002803.SZ,2016-07-12,1899-12-30
002805.SZ,2016-07-07,1899-12-30
002806.SZ,2016-07-26,1899-12-30
002807.SZ,2016-09-02,1899-12-30
002808.SZ,2016-08-12,1899-12-30
002809.SZ,2016-08-23,1899-12-30
002810.SZ,2016-08-26,1899-12-30
002811.SZ,2016-09-08,1899-12-30
002812.SZ,2016-09-14,1899-12-30
002813.SZ,2016-10-12,1899-12-30
002815.SZ,2016-10-12,1899-12-30
002816.SZ,2016-10-25,1899-12-30
002817.SZ,2016-10-25,1899-12-30
002818.SZ,2016-11-09,1899-12-30
002819.SZ,2016-11-11,1899-12-30
002820.SZ,2016-11-18,1899-12-30
002821.SZ,2016-11-18,1899-12-30
002822.SZ,2016-11-29,1899-12-30
002823.SZ,2016-11-24,1899-12-30
002824.SZ,2017-01-12,1899-12-30
002825.SZ,2016-11-29,1899-12-30
002826.SZ,2016-12-09,1899-12-30
002827.SZ,2016-12-09,1899-12-30
002828.SZ,2016-12-08,1899-12-30
002829.SZ,2016-12-13,1899-12-30
002830.SZ,2016-12-13,1899-12-30
002831.SZ,2016-12-16,1899-12-30
002832.SZ,2016-12-23,1899-12-30
002833.SZ,2016-12-28,1899-12-30
002835.SZ,2016-12-28,1899-12-30
002836.SZ,2016-12-29,1899-12-30
002837.SZ,2016-12-29,1899-12-30
002838.SZ,2017-01-06,1899-12-30
002839.SZ,2017-01-24,1899-12-30
002840.SZ,2017-01-10,1899-12-30
002841.SZ,2017-01-19,1899-12-30
002842.SZ,2017-01-19,1899-12-30
002843.SZ,2017-01-20,1899-12-30
002845.SZ,2017-01-25,1899-12-30
002846.SZ,2017-02-07,1899-12-30
002847.SZ,2017-02-08,1899-12-30
002848.SZ,2017-02-13,1899-12-30
002849.SZ,2017-02-17,1899-12-30
002850.SZ,2017-03-02,1899-12-30
002851.SZ,2017-03-06,1899-12-30
002852.SZ,2017-03-10,1899-12-30
002853.SZ,2017-03-10,1899-12-30
002855.SZ,2017-03-21,1899-12-30
002856.SZ,2017-03-20,1899-12-30
002857.SZ,2017-03-23,1899-12-30
002858.SZ,2017-03-24,1899-12-30
002859.SZ,2017-04-07,1899-12-30
002860.SZ,2017-04-12,1899-12-30
002861.SZ,2017-04-13,1899-12-30
002862.SZ,2017-04-11,1899-12-30
002863.SZ,2017-04-18,1899-12-30
002864.SZ,2017-11-16,1899-12-30
002865.SZ,2017-04-25,1899-12-30
002866.SZ,2017-04-26,1899-12-30
002867.SZ,2017-04-27,1899-12-30
002868.SZ,2017-05-03,1899-12-30
002869.SZ,2017-05-15,1899-12-30
002870.SZ,2017-05-15,1899-12-30
002871.SZ,2017-05-11,1899-12-30
002872.SZ,2017-05-19,1899-12-30
002873.SZ,2017-05-19,1899-12-30
002875.SZ,2017-06-01,1899-12-30
